catcher_id,jobma_catcher_status,jobma_catcher_type,subscription_status,subscription_type,referral_credit,is_premium,sub_user,company_size,per_sub_user,number_of_logins,jobma_login_status,days_since_login,wallet_sum,plan_type,is_unlimited,subscription_sum,subscription_count,currency,premium_plan_id,pre_recorded_kit_counts,number_of_jobs_posted,number_of_invitations,number_of_pitcher_applied,pre_rec_interviews_counts,live_interviews_counts,ai_kit_counts,ai_interviews_counts
457,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
504,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
