catcher_id,subscription_sum,subscription_count,currency
1858,0.0,1,0
1859,99.0,2,0
1867,199.0,1,0
1868,0.0,1,1
1870,0.0,1,0
1873,1243365.0,238,0
1876,0.0,1,0
1877,0.0,1,0
1878,299.0,2,0
1883,705.0,4,0
1885,2.0,3,0
1888,641.0,17,0
1889,400.0,4,0
1890,470.0,14,0
1891,247.0,13,0
1895,0.0,1,1
1896,0.0,1,0
1897,221.0,2,0
1900,199.0,1,0
1903,10.0,1,0
1904,10.0,1,0
1906,66.0,1,0
1907,66.0,1,0
1909,1.0,1,0
1910,344.0,1,0
1911,0.0,1,0
1912,0.0,1,0
1913,0.0,1,1
1914,10.0,1,0
1915,120.0,1,0
1916,120.0,1,0
1917,30.0,1,0
1918,0.0,1,0
1919,10.0,1,0
1920,0.0,1,0
1921,0.0,1,0
1922,0.0,1,0
1923,0.0,1,0
1924,398.0,2,0
1925,0.0,1,0
1926,0.0,1,0
1927,398.0,3,1
1928,199.0,1,0
1929,0.0,1,0
1930,70.0,2,0
1931,0.0,1,0
1933,0.0,1,0
1934,199.0,1,0
1935,199.0,1,0
1936,10.0,1,0
1942,10.0,1,0
1943,0.0,1,0
1946,199.0,1,0
1955,199.0,1,0
1956,199.0,2,0
1960,199.0,1,0
1968,199.0,1,0
1986,1.0,1,0
1988,199.0,1,0
2009,199.0,1,0
2010,100.0,1,0
2011,1.0,1,0
2012,60.0,1,0
2013,40.0,1,0
2017,737.0,5,0
2021,199.0,1,0
2024,0.0,1,0
2026,199.0,1,0
2027,597.0,3,0
2028,10.0,1,0
2031,1199.0,2,0
2032,410.0,3,0
2039,12.0,1,0
2041,199.0,1,0
2042,199.0,1,0
2045,199.0,1,0
2046,349.0,2,0
2055,199.0,1,0
2056,199.0,1,0
2057,199.0,1,0
2071,10.0,1,0
2090,10.0,1,0
2095,199.0,1,0
2096,199.0,1,0
2097,199.0,1,0
2098,10.0,1,0
2103,10.0,1,0
2107,0.0,1,0
2110,199.0,1,0
2111,10.0,1,0
2112,150.0,1,0
2113,199.0,1,0
2114,199.0,1,0
2115,150.0,1,0
2116,199.0,1,0
2117,150.0,1,0
2118,200.0,1,0
2120,0.0,1,0
2121,0.0,1,0
2122,0.0,1,0
2123,150.0,1,0
2124,0.0,1,0
2125,150.0,1,0
2126,150.0,1,0
2127,0.0,1,0
2128,0.0,1,0
2129,211.0,1,0
2130,199.0,1,0
2131,0.0,1,0
2132,0.0,1,0
2133,199.0,1,0
2134,199.0,1,0
2135,200.0,1,0
2136,10.0,1,0
2137,200.0,1,0
2138,10.0,1,0
2139,200.0,1,0
2140,200.0,1,0
2141,10.0,1,0
2142,200.0,1,0
2143,200.0,1,0
2145,199.0,1,0
2153,199.0,1,0
2154,398.0,3,0
2155,0.0,1,0
2156,199.0,1,0
2157,199.0,1,0
2168,1199.0,2,0
2169,4048.0,13,0
2170,0.0,1,0
2171,199.0,1,0
2172,0.0,1,0
2173,0.0,1,0
2174,0.0,1,0
2175,199.0,1,0
2178,10.0,3,0
2181,199.0,1,0
2182,0.0,1,0
2183,0.0,1,0
2184,199.0,1,0
2185,0.0,1,0
2186,199.0,1,0
2187,199.0,1,0
2188,379.0,7,0
2189,60.0,3,0
2190,180.0,4,0
2191,199.0,1,0
2192,0.0,1,0
2193,0.0,1,0
2194,199.0,1,0
2196,408.0,3,0
2203,0.0,1,0
2206,199.0,1,0
2208,200.0,1,0
2209,200.0,1,0
2214,0.0,1,1
2215,0.0,1,1
2216,0.0,1,1
2217,0.0,1,1
2218,0.0,1,0
2219,0.0,1,1
2220,0.0,1,1
2221,0.0,1,0
2222,0.0,1,1
2223,0.0,1,1
2224,0.0,1,1
2225,0.0,1,1
2226,0.0,1,1
2227,199.0,2,0
2228,0.0,1,0
2229,7174.61,1,0
2230,150.0,1,0
2231,100.0,1,1
2232,199.0,1,0
2234,199.0,1,0
2235,24.96,1,0
2236,24.96,1,0
2237,24.96,1,0
2238,24.96,1,0
2242,199.0,1,0
2243,25.0,1,0
2244,25.0,1,0
2245,25.0,1,0
2246,0.17,1,0
2247,199.0,1,0
2248,0.0,1,0
2249,0.0,1,0
2250,0.0,1,0
2251,199.0,1,0
2252,0.0,1,0
2254,0.0,1,0
2255,199.0,1,0
2256,199.0,1,0
