catcher_id,jobma_catcher_company,jobma_functional,jobma_catcher_indus,jobma_catcher_title,jobma_catcher_otype,jobma_catcher_status,jobma_catcher_type,is_premium,jobma_verified,subscription_status,sub_user,per_sub_user,live_interview_credit,pre_recorded_credit,ai_live_interview_credit,interview_cost_type,referral_credit,company_size,ai_live_interview,days_since_creation,confirmed,number_of_logins,credit_amount,wallet_amount,plan_type,is_unlimited,trial_account_type,billing_cycle_status,subscription_amount,credit_given,currency_val,times_of_subscription,kits_count,position_created,number_of_invitations,pitchers_counts,def_interview_counts,interview_counts,ai_interview_counts
279,"paint,petrol,chemical",Manufacturing,Manufacturing,0,1,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3941.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,high torque system private limited,Manufacturing,Manufacturing,0,1,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3941.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,pune,Biotech & Science,Biotechnology & Pharmaceuticals,0,1,-1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3941.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,Enter Company Name,Creative & Design,"Computer (Hardware, Software, & IT)",0,1,-1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3941.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283, Serco Bpo,BPO/ITES,BPO/KPO/ITES,0,1,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3936.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,Flippa,Editorial & Writing,Printing & Publishing,0,1,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3933.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,Select Source International,Consulting,"IT Recruiting, Staffing, & Temporary Labor",0,1,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3932.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,6.0,0.0,7.0,2.0,0.0,0.0
288,Memorial Medical Center,Health Care & Medical,Medical & Health/Wellbeing Services,0,1,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3917.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,Azul Systems,IT & Software Development,IT-Software/Software Services,0,1,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3890.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,meco ind,Accounting & Finance,Accounting & Finance,0,1,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3877.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,Perimeter Healthcare Staffing,Health Care & Medical,Recruitment,0,1,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3877.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,Testing comp,IT & Software Development,IT-Software/Software Services,0,1,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3872.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,Conquerors Market,Accounting & Finance,Accounting & Finance,0,1,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3836.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,Alpha Gamma Delta,Consulting,Non-Profit,0,1,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3829.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,Frank Company,Skilled Labor,Construction,0,1,-1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3828.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,Innovate Solutions Group,Skilled Labor,Construction,0,1,-1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3822.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,jnl pty ltd,Sales,Other,0,1,-1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3805.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,IT Solution Provider,IT & Software Development,IT-Software/Software Services,0,1,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3760.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,IICT,IT & Software Development,"Computer (Hardware, Software, & IT)",0,1,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3755.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,InterCo,Professional Services,"Computer (Hardware, Software, & IT)",0,1,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3752.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,Antela Developments Limited,Real Estate,Real Estate & Property Management,0,1,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3751.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,Yahoo US,Accounting & Finance,Advertising & PR Services,0,Employer,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3750.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,Gutter Force,Sales,Consumer Products,0,1,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3749.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,GTS,Accounting & Finance,Accounting & Finance,0,Employer,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3745.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,"Selectek, Inc",Professional Services,Engineering,0,Employer,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3694.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,Envision27 Recruitment Private Limited,Recruitment,Recruitment,0,Recruiting Firm,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3693.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,35.0,0.0,643.0,30.0,0.0,0.0
328,DaddyBrand,Accounting & Finance,Internet,0,Employer,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3690.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,DaddyJo,Accounting & Finance,"Computer (Hardware, Software, & IT)",0,Ad Agency,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3690.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,http://www.dizercorp.com/,Recruitment,"IT Recruiting, Staffing, & Temporary Labor",0,1,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3687.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,cookie,Accounting & Finance,Accounting & Finance,0,1,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3675.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,InTravelGroup,Accounting & Finance,Accounting & Finance,0,1,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3672.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,Vivir Amoura,Accounting & Finance,Advertising & PR Services,0,Employer,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3662.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,Engen Enterprises,Accounting & Finance,Accounting & Finance,0,Employer,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3661.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,www.findingengineers.com,Engineering,Engineering,0,Recruiting Firm,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3660.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,russwheeler.com,Accounting & Finance,Accounting & Finance,0,Employer,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3636.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,"Peterborough Players, Inc.",Marketing & Media,Non-Profit,0,Employer,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3625.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,Aroha Technologies Inc,Accounting & Finance,Accounting & Finance,0,Recruiting Firm,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3620.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,HPT,Accounting & Finance,Accounting & Finance,0,Employer,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3619.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,SolTech,IT & Software Development,"Computer (Hardware, Software, & IT)",0,Recruiting Firm,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3616.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,TRADING OFHOSPITAL & HEALTH CARE EDUCATIONAL,Accounting & Finance,Accounting & Finance,0,Employer,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3613.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,Cyprus home and garden,Business,Retail,0,Employer,1,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3611.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,Bhim International,Accounting & Finance,Accounting & Finance,0,Employer,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3603.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,AHM PSSPL,Accounting & Finance,Accounting & Finance,0,Recruiting Firm,0,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0,3603.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
