jobma_catcher_id,company_size,currency,is_premium,subscription_status,jobma_catcher_status,sub_users,wallet_amount,is_unlimited,plan_type,subscription_sum,subscription_count,invitations,pre_recorded_kit_counts,number_of_jobs_posted,pre_rec_interview_taken
3199,26-100,1,1,2,1,0.0,60.0,1,1,109.0,1,0.0,0.0,0.0,0.0
3203,1-25,1,1,2,1,0.0,60.0,1,1,22.0,1,0.0,0.0,0.0,0.0
3205,26-100,1,1,2,1,0.0,60.0,1,1,141.6,1,0.0,0.0,0.0,0.0
3206,1-25,0,1,2,1,2.0,60.0,1,0,125.0,1,18.0,3.0,3.0,3.0
3209,101-500,1,1,2,1,0.0,60.0,1,1,22.0,1,0.0,0.0,0.0,0.0
3214,1-25,0,1,2,1,1.0,60.0,1,0,100.0,1,0.0,1.0,1.0,0.0
3218,26-100,1,1,2,1,3.0,60.0,1,1,171.1,1,0.0,0.0,0.0,0.0
3220,1-25,1,1,2,1,1.0,60.0,1,1,145.0,1,0.0,0.0,0.0,0.0
3221,1-25,1,1,2,1,0.0,60.0,0,1,171.1,1,0.0,0.0,0.0,0.0
3223,26-100,1,0,2,1,1.0,60.0,0,1,11.8,1,0.0,0.0,0.0,0.0
3225,1-25,0,1,2,1,1.0,60.0,1,0,120.0,1,1.0,1.0,1.0,1.0
3226,26-100,1,1,2,1,0.0,60.0,1,1,141.6,1,0.0,0.0,0.0,0.0
3228,26-100,0,1,2,1,1.0,60.0,1,0,10000.0,1,0.0,0.0,0.0,0.0
3229,1-25,0,1,2,1,3.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
3238,26-100,0,1,2,1,1.0,60.0,1,0,1000.0,1,1.0,1.0,1.0,1.0
3241,26-100,1,0,2,1,0.0,60.0,0,1,53.1,1,0.0,0.0,0.0,0.0
3242,1-25,1,1,2,1,5.0,60.0,1,1,10.0,1,0.0,0.0,0.0,0.0
3249,26-100,0,1,2,1,2.0,60.0,1,0,10.0,1,0.0,0.0,1.0,0.0
3250,26-100,0,1,2,1,1.0,60.0,1,0,100.0,1,0.0,1.0,1.0,0.0
3251,101-500,1,1,2,1,4.0,60.0,0,1,1.18,1,0.0,0.0,0.0,0.0
3257,1-25,0,1,2,1,1.0,60.0,0,0,100.0,1,0.0,0.0,1.0,0.0
3258,26-100,0,1,2,1,1.0,60.0,1,0,100.0,1,0.0,0.0,1.0,0.0
3261,101-500,1,1,2,1,0.0,60.0,1,1,150.0,1,0.0,0.0,2.0,0.0
3263,101-500,1,1,2,1,0.0,60.0,1,1,355.76,4,0.0,0.0,1.0,0.0
3264,26-100,0,1,2,1,0.0,60.0,1,0,100.0,1,3.0,1.0,1.0,1.0
3265,26-100,1,1,2,1,0.0,60.0,1,1,1.0,1,2.0,1.0,1.0,1.0
3266,26-100,0,1,2,1,0.0,60.0,1,0,1.0,1,0.0,0.0,0.0,0.0
3267,1-25,0,1,2,1,0.0,60.0,1,0,100.0,1,0.0,0.0,0.0,0.0
3268,101-500,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
3269,26-100,1,1,2,1,0.0,60.0,1,1,100.0,1,0.0,0.0,0.0,0.0
3270,26-100,1,1,2,1,0.0,60.0,0,1,100.0,1,0.0,0.0,0.0,0.0
3271,101-500,0,1,2,1,0.0,60.0,1,0,1122.0,2,0.0,0.0,0.0,0.0
3272,1-25,0,1,2,1,0.0,60.0,0,0,2000.0,2,0.0,0.0,0.0,0.0
3273,1-25,0,0,2,1,0.0,60.0,0,0,0.0,1,0.0,0.0,0.0,0.0
3275,1-25,0,1,2,1,1.0,60.0,0,0,10.0,1,0.0,0.0,0.0,0.0
3277,26-100,0,1,2,1,1.0,60.0,0,0,199.0,1,0.0,0.0,0.0,0.0
3279,1-25,0,0,2,1,0.0,60.0,0,0,100.0,2,0.0,0.0,0.0,0.0
3280,26-100,0,1,2,1,3.0,60.0,1,0,80.0,1,4.0,1.0,1.0,2.0
3281,26-100,0,1,2,1,0.0,60.0,1,0,80.0,1,0.0,0.0,0.0,0.0
3282,26-100,0,1,2,1,0.0,60.0,1,0,233.0,1,0.0,0.0,0.0,0.0
3283,101-500,0,1,2,1,0.0,60.0,1,0,300.0,3,0.0,0.0,0.0,0.0
3284,1-25,1,1,2,1,0.0,60.0,1,1,100.0,1,0.0,0.0,0.0,0.0
