catcher_id,wallet_sum,subscription_type,plan_type,is_unlimited
2031,301.0,0,0,0
2032,180.0,0,0,0
2039,80.0,0,0,0
2041,630.0,0,0,0
2042,630.0,0,0,0
2045,626.0,0,0,0
2046,1926.0,0,0,0
2055,629.0,0,0,0
2056,630.0,0,0,0
2057,630.0,0,0,0
2071,80.0,0,0,0
2090,90.0,0,0,0
2095,630.0,0,0,0
2096,630.0,0,0,0
2097,630.0,0,0,0
2098,80.0,0,0,0
2103,80.0,0,0,0
2107,1500.0,0,1,0
2110,230.0,0,0,0
2111,208.0,0,0,0
2112,150.0,0,0,0
2113,580.0,0,0,0
2114,85.0,0,0,0
2115,150.0,0,0,0
2116,180.0,0,0,0
2117,150.0,0,0,0
2118,279.0,0,0,0
2120,1850.0,0,1,0
2121,4800.0,0,1,0
2122,4080.0,0,1,0
2123,180.0,0,0,0
2124,4080.0,0,1,0
2125,180.0,0,0,0
