jobma_catcher_id,company_size,is_premium,subscription_status,jobma_catcher_status,sub_users,wallet_amount,is_unlimited,plan_type,subscription_sum,subscription_count,invitations,pre_recorded_kit_counts,number_of_jobs_posted,pre_rec_interview_taken,days_since_login
3109,26-100,1,2,1,1,60.0,1,0,2.4,2,0,0,0,0,1771
3111,1-25,1,2,1,1,60.0,0,0,0.0,1,0,0,0,0,1771
3113,101-500,1,2,1,2,60.0,0,1,13.9,1,0,0,0,0,1768
3116,101-500,1,2,1,1,60.0,1,0,11.8,1,0,0,0,0,1768
3118,26-100,0,2,1,0,60.0,0,1,0.6,1,0,1,1,0,1768
3119,26-100,0,2,1,1,60.0,0,1,0.0,1,0,0,0,0,1768
3121,26-100,1,2,1,3,60.0,0,1,13.9,1,0,0,0,0,0
3125,101-500,1,2,1,5,60.0,0,0,11.8,1,0,0,0,0,0
3131,26-100,1,2,1,7,60.0,1,0,0.0,1,0,0,0,0,1766
3139,500-1000,1,2,1,2,60.0,0,1,16.2,2,0,0,0,0,0
3143,1-25,0,2,1,1,60.0,0,0,0.0,1,0,0,0,0,1759
3145,26-100,1,2,1,1,60.0,0,1,0.1,1,0,0,0,0,1766
3147,1-25,1,2,1,1,60.0,0,0,2.3,1,0,0,0,0,1765
3150,26-100,0,2,1,0,60.0,0,0,1.4,2,0,0,0,0,1754
3152,101-500,0,2,1,1,60.0,0,0,2.3,1,0,0,0,0,1765
3153,26-100,1,2,1,0,60.0,0,0,0.5,1,0,0,0,0,1765
3155,1-25,1,2,1,0,60.0,1,0,0.5,1,2,1,1,1,1765
3156,26-100,1,2,1,0,60.0,1,0,0.0,1,4,1,1,1,1765
3157,101-500,1,2,1,0,60.0,0,1,0.0,1,0,0,1,0,1765
3158,500-1000,1,2,1,0,60.0,0,0,1.4,1,2,1,1,1,1765
3159,26-100,0,2,1,0,60.0,0,1,0.1,1,1,1,1,1,1765
3160,1-25,1,2,1,0,60.0,0,1,0.1,1,1,1,1,1,0
3161,1-25,1,2,1,0,60.0,0,1,0.2,1,1,1,1,1,1765
3163,1-25,1,2,1,0,60.0,0,0,2.6,3,0,0,0,0,1764
3164,500-1000,1,2,1,1,60.0,0,0,0.1,1,0,0,0,0,1764
3166,26-100,1,2,1,0,60.0,0,1,0.1,1,0,0,0,0,1764
3168,1-25,0,2,1,0,60.0,0,1,0.1,1,0,0,0,0,1764
3169,101-500,0,2,1,0,60.0,0,1,0.6,1,0,0,0,0,1764
3173,1-25,1,2,1,0,60.0,0,0,1.8,2,0,0,0,0,1760
3174,26-100,0,2,1,1,60.0,0,1,138.8,1,0,1,0,0,1759
3176,1-25,0,2,1,1,60.0,0,1,0.6,1,1,0,0,1,1759
3178,1-25,0,2,1,0,60.0,0,1,0.1,1,0,0,0,0,1759
3179,1-25,0,2,1,1,60.0,0,0,2.4,2,0,0,0,0,1759
3181,1-25,1,2,1,0,60.0,0,0,1.2,1,0,0,0,0,1759
3183,26-100,1,2,1,0,60.0,0,1,1.4,1,0,0,0,0,1758
3184,1-25,1,2,1,0,60.0,0,1,58.8,1,0,0,0,0,1758
3185,1-25,1,2,1,0,60.0,1,1,58.8,1,0,0,0,0,1758
3186,1-25,1,2,1,1,60.0,1,0,5.9,1,0,0,0,0,1758
3187,1-25,1,2,1,0,60.0,1,0,58.8,1,0,0,0,0,1758
3188,1-25,1,2,1,0,60.0,1,1,58.8,1,0,0,0,0,1758
3189,26-100,1,2,1,0,60.0,1,1,69.4,1,0,0,0,0,1758
3194,26-100,1,2,1,1,60.0,1,0,1.3,1,0,0,0,0,1758
3196,1-25,1,2,1,0,60.0,0,0,1.2,1,0,0,0,0,0
3197,26-100,1,2,1,0,60.0,1,0,1.2,1,0,0,0,0,1758
3198,101-500,1,2,1,2,60.0,1,1,1.2,1,0,0,0,0,1758
