catcher_id,jobma_catcher_company,jobma_functional,jobma_catcher_indus,jobma_catcher_title,jobma_catcher_otype,jobma_catcher_status,jobma_catcher_creation,jobma_catcher_type,is_premium,jobma_verified,subscription_status,sub_user,per_sub_user,live_interview_credit,pre_recorded_credit,ai_live_interview_credit,interview_cost_type,referral_credit,company_size,ai_live_interview
481,Ajith Kumar Bairneni,Accounting & Finance,Accounting & Finance,0,Employer,0,2015-10-10,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
482,"15, 12 spring street",Accounting & Finance,Management,0,Employer,0,2015-10-12,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
487,Select Source International,Health Care & Medical,Biotechnology & Pharmaceuticals,0,1,1,2014-04-08,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
488,Macquarie Group Limited,Accounting & Finance,Accounting & Finance,0,Employer,1,2015-10-20,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
500,guci consulting,Accounting & Finance,Accounting & Finance,0,Recruiting Firm,0,2015-10-28,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
504,lodash,Accounting & Finance,Accounting & Finance,0,Employer,0,2015-10-30,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
507,Pinnacle Group,IT Application Programming / Maintenance,"IT Recruiting, Staffing, & Temporary Labor",0,,1,2015-11-02,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
508,Lucky Group,IT & Software Development,Accounting & Finance,0,Employer,0,2015-11-03,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
514,Airwil Group,Real Estate,Real Estate & Property Management,0,Employer,1,2015-11-09,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
516,Sprout Accounting,Accounting & Finance,Accounting & Finance,0,Employer,1,2015-11-10,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
518,WNS Global Services Pvt Ltd,BPO/ITES,Transportation & Travel,0,Employer,1,2015-11-17,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
521,Spectrum HR Solutions,Accounting & Finance,Recruitment,0,Recruiting Firm,1,2015-11-20,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
527,qqq,Accounting & Finance,Accounting & Finance,0,Employer,0,2015-11-27,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
528,keya it,Accounting & Finance,Accounting & Finance,0,Recruiting Firm,0,2015-11-29,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
530,Demo,IT Application Programming / Maintenance,IT-Software/Software Services,0,,0,2015-12-04,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
531,Select Demo,Accounting & Finance,Accounting & Finance,0,,1,2015-12-10,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
532,ABC Consultants,Accounting & Finance,Accounting & Finance,0,Employer,0,2015-12-10,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
533,Select Demo,IT Application Programming / Maintenance,IT-Software/Software Services,0,,0,2015-12-14,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
536,Select Source International,Other,Recruitment,0,1,1,2014-04-08,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
537,Select Source International,Other,Recruitment,0,1,1,2014-04-08,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
538,Select Source International,Other,Recruitment,0,1,1,2014-04-08,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
539,Select Source International,Other,Recruitment,0,1,1,2014-04-08,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
540,Select Source International,Other,Recruitment,0,1,1,2014-04-08,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
